logicId,title,securityCode,companyName,filePath,fileMd5,,一级分类,二级分类,三级分类,披露日期
146007953,募集资金管理办法,600452,涪陵电力,http://dataclouds.cninfo.com.cn/shgonggao/2025/2025-10-24/70602220b01e11f0bd54fa163e957f7a.pdf,,,公司制度,信披及交易类制度,募集资金管理制度,2025/10/23
146007945,董事、高级管理人员薪酬管理办法,600452,涪陵电力,http://dataclouds.cninfo.com.cn/shgonggao/2025/2025-10-24/705a3911b01e11f090ebfa163e957f7a.pdf,,,公司制度,其他制度,薪酬管理制度,2025/10/23
146007948,控股股东、实际控制人行为规范制度,600452,涪陵电力,http://dataclouds.cninfo.com.cn/shgonggao/2025/2025-10-24/705baac1b01e11f0a00cfa163e957f7a.pdf,,,公司制度,其他制度,其它治理制度,2025/10/23
146007946,公司章程,600452,涪陵电力,http://dataclouds.cninfo.com.cn/shgonggao/2025/2025-10-24/7062a586b01e11f09e2afa163e957f7a.pdf,,,公司制度,规范运作制度,公司章程,2025/10/23
146007947,董事离职管理制度,600452,涪陵电力,http://dataclouds.cninfo.com.cn/shgonggao/2025/2025-10-24/705b48e6b01e11f0a690fa163e957f7a.pdf,,,公司制度,董监高相关制度,其他制度,2025/10/23
146007952,董事会议事规则,600452,涪陵电力,http://dataclouds.cninfo.com.cn/shgonggao/2025/2025-10-24/705ecd68b01e11f08193fa163e957f7a.pdf,,,公司制度,规范运作制度,董事会议事规则,2025/10/23
146007949,股东会议事规则,600452,涪陵电力,http://dataclouds.cninfo.com.cn/shgonggao/2025/2025-10-24/70603c37b01e11f096a0fa163e957f7a.pdf,,,公司制度,规范运作制度,股东大会议事规则,2025/10/23
146007951,独立董事工作制度,600452,涪陵电力,http://dataclouds.cninfo.com.cn/shgonggao/2025/2025-10-24/705e2d01b01e11f0a118fa163e957f7a.pdf,,,公司制度,董监高相关制度,独立董事工作制度,2025/10/23
146007950,关联交易管理办法,600452,涪陵电力,http://dataclouds.cninfo.com.cn/shgonggao/2025/2025-10-24/705b7c93b01e11f0bc90fa163e957f7a.pdf,,,公司制度,信披及交易类制度,关联交易制度,2025/10/23
146007938,西安奕材公司章程,688783,西安奕材,http://dataclouds.cninfo.com.cn/shgonggao/2025/2025-10-24/0f3b781db01611f0bfd1fa163e957f7a.pdf,,,公司制度,规范运作制度,公司章程,2025/10/23
