filename,公司全称,公司简称,公司代码,制度名称,落款日期,制度分类,法规依据,关联公告名称,决策机构,篇幅页码,字数
145986903_2025-10-10_葵花药业：对外担保管理制度（2025年10月）.PDF,葵花药业集团股份有限公司,葵花药业,未找到,对外担保管理制度,2025-10-10,对外担保制度,《中华人民共和国公司法》;《深圳证券交易所上市公司自律监管指引第1号——主板上市公司规范运作》;《上市公司监管指引第8号——上市公司资金往来、对外担保的监管要求》;《中华人民共和国证券法》,145986904_2025-10-10_葵花药业：独立董事工作制度（2025年10月）.PDF,董事会,6,4563
145986904_2025-10-10_葵花药业：独立董事工作制度（2025年10月）.PDF,葵花药业集团股份有限公司,葵花药业,未找到,独立董事工作制度,2025-10-10,独立董事工作制度,《中华人民共和国公司法》;《深圳证券交易所股票上市规则》;《深圳证券交易所上市公司自律监管指引第1号—主板上市公司规范运作》;《上市公司独立董事管理办法》;《上市公司治理准则》,145986903_2025-10-10_葵花药业：对外担保管理制度（2025年10月）.PDF,董事会,10,6863
145986905_2025-10-10_葵花药业：融资决策制度（2025年10月）.PDF,葵花药业集团股份有限公司,葵花药业,未找到,融资决策制度,2025-10-10,对外投资制度,中华人民共和国公司法;深圳证券交易所股票上市规则;深圳证券交易所上市公司自律监管指引第1号——主板上市公司规范运作;葵花药业集团股份有限公司章程,145986903_2025-10-10_葵花药业：对外担保管理制度（2025年10月）.PDF,股东会,2,1020
145986907_2025-10-10_葵花药业：董事会议事规则（2025年10月）.PDF,葵花药业集团股份有限公司,葵花药业集团,未找到,董事会议事规则,2025-10-10,董事会议事规则,中华人民共和国公司法；深圳证券交易所股票上市规则；葵花药业集团股份有限公司章程,未找到,股东会,13,9148
145986908_2025-10-10_葵花药业：股东会议事规则（2025年10月）.PDF,葵花药业集团股份有限公司,葵花药业集团,未找到,股东会议事规则,2025-10-10,股东大会议事规则,中华人民共和国公司法;中华人民共和国证券法;深圳证券交易所股票上市规则;上市公司股东会规则,未找到,股东会,12,8370
145986910_2025-10-10_葵花药业：对外投资管理办法（2025年10月）.PDF,葵花药业集团股份有限公司,葵花药业,未找到,对外投资管理办法,2025-10-10,对外投资制度,中华人民共和国公司法;中华人民共和国证券法;深圳证券交易所股票上市规则,145986903_2025-10-10_葵花药业：对外担保管理制度（2025年10月）.PDF,股东会,6,4161
145986911_2025-10-10_葵花药业：公司章程（2025年10月）.PDF,葵花药业集团股份有限公司,葵花药业集团,未找到,葵花药业集团股份有限公司章程,未找到,公司章程,《中华人民共和国公司法》;《中华人民共和国证券法》,未找到,股东会,54,36474
145986915_2025-10-10_葵花药业：防止控股股东、实际控制人及其关联方资金占用管理办法（2025年10月）.PDF,葵花药业集团股份有限公司,葵花药业,未找到,防止控股股东、实际控制人及其关联方资金占用管理办法,2025-10-10,关联交易制度,《中华人民共和国公司法》;《上市公司监管指引第8号——上市公司资金往来、对外担保的监管要求》;《上市公司治理准则》;《葵花药业集团股份有限公司章程》,145986903_2025-10-10_葵花药业：对外担保管理制度（2025年10月）.PDF,董事会,5,3071
145986918_2025-10-10_葵花药业：募集资金管理制度（2025年10月）.PDF,葵花药业集团股份有限公司,葵花药业,未找到,募集资金管理制度,2025-10-10,募集资金管理制度,《中华人民共和国公司法》;《中华人民共和国证券法》;《上市公司募集资金监管规则》;《深圳证券交易所股票上市规则》;《深圳证券交易所上市公司自律监管指引第1号——主板上市公司规范运作》;《葵花药业集团股份有限公司章程》,145986903_2025-10-10_葵花药业：对外担保管理制度（2025年10月）.PDF,股东会,11,7721
145986919_2025-10-10_葵花药业：关联交易管理制度（2025年10月）.PDF,葵花药业集团股份有限公司,葵花药业,未找到,关联交易管理制度,2025-10-10,关联交易制度,中华人民共和国公司法;中华人民共和国证券法;深圳证券交易所股票上市规则;上市公司治理准则;深圳证券交易所上市公司自律监管指引第1号——主板上市公司规范运作;深圳证券交易所上市公司自律监管指引第7号—交易与关联交易;葵花药业集团股份有限公司章程,145986903_2025-10-10_葵花药业：对外担保管理制度（2025年10月）.PDF,股东会,10,6451
