filename,公司全称,公司简称,公司代码,公告名称,落款日期,业绩分类,审计机构,签字会计师,审计意见,"审计费用（万元）/
会计师事务所报酬",营业收入（单位：元）-本期数据,营业收入（单位：元）-上期数据,营业收入（单位：元）-同比变动比例（%）,"归属于上市公司股东的净利润
（单位：元）-本期数据","归属于上市公司股东的净利润
（单位：元）-上期数据","归属于上市公司股东的净利润
（单位：元）-同比变动比例（%）",归属于上市公司股东的扣除非经常性损益的净利润（单位：元）-本期数据,归属于上市公司股东的扣除非经常性损益的净利润（单位：元）-上期数据,归属于上市公司股东的扣除非经常性损益的净利润（单位：元）-同比变动比例（%）,"总资产/资产总额
（单位：元）-本期数据","总资产/资产总额
（单位：元）-上期数据","总资产/资产总额
（单位：元）-同比变动比例（%）","归属于上市公司股东的净资产
（单位：元）-本期数据","归属于上市公司股东的净资产
（单位：元）-上期数据","归属于上市公司股东的净资产
（单位：元）-同比变动比例（%）",经营活动产生的现金流量净额-本期数据,经营活动产生的现金流量净额-上期数据,经营活动产生的现金流量净额-同比变动比例（%）,基本每股收益（元／股）-本期数据,基本每股收益（元／股）-上期数据,基本每股收益（元／股）-同比变动比例（%）,加权平均净资产收益率（%）-本期数据,加权平均净资产收益率（%）-上期数据,加权平均净资产收益率（%）-同比变动比例（%）,资产负债率,目录,利润分配预案/利润分配方案,语言,精排,篇幅页码,字数,净利润（本期数据）,净利润（上期数据）,本期数据,上期数据,同比变动比例（%）,负债合计（本期数据）,负债和所有者权益（或股东权益）总计（本期数据）,董事会决议通过的本报告期利润分配预案或公积金转增股本预案,经本次董事会审议通过的利润分配预案为：,年度利润分配方案如下：
145692176_2025-07-04_2025年第一季度报告（英文版）.pdf,Appotronics Corporation Limited,Appotronics,688007,Appotronics Corporation Limited The First Quarter Report in 2025,2025-04-30,亏损,未找到,未找到,未找到,未找到,461382026.25,445039193.21,3.67,-21359576.96,44543331.11,-147.95,-23974913.50,622945.86,-3948.64,4091205356.58,4255663351.00,-3.86,2719899594.77,2740047895.12,-0.74,64127372.68,12224792.96,424.57,-0.05,0.10,-150.00,-0.78,1.57,-2.35,35.41%,I. Major Financial Data; (I) Main accounting data and financial indicators; (II) Items and amounts of non-recurring profit or loss; (III) Description of and reasons for changes in the main accounting data and financial indicators; 1. Analysis of business operation; 2. Profit analysis; II. Shareholder Information; (I) Table of total number of ordinary shareholders and preferred shareholders with resumed voting right as well as shareholding status of top 10 shareholders; III. Other Events; IV. Quarterly Financial Statements; (I) Type of audit opinions; (II) Financial statements; (III) Description of adjustments in opening balances of line items in financial statements of the year due to initial adoption of new accounting standards or interpretations of standards since 2025,未找到,英文,否,18,27530,-24363489.53,41341932.09,未找到,未找到,未找到,1448778867.54,4091205356.58,未找到,未找到,未找到
145695814_2025-07-08_华东医药：2025年第一季度报告（英文版）.PDF,"Huadong Medicine Co., Ltd.",Huadong Medicine,000963,First Quarterly Report 2025,2025-04-25,同比增长,未找到,未找到,未找到,未找到,"10,735,787,899.82","10,410,809,128.72",3.12%,"914,708,484.70","862,411,560.96",6.06%,"897,337,982.42","838,303,551.41",7.04%,"39,447,159,682.31","37,879,046,367.15",4.14%,"24,059,686,522.62","23,060,051,397.36",4.33%,"-832,728,693.88","-484,522,666.13",-71.87%,0.5224,0.4929,5.98%,3.88%,4.01%,-0.13%,38.99%,I. Key Financial Data; II. Shareholder Information; III. Other Important Matters; IV. Quarterly Financial Statements,未找到,英文,否,19,37396,"913,984,183.42","860,245,520.89",未找到,未找到,未找到,"14,884,463,084.31","39,447,159,682.31",未找到,未找到,未找到
145755308_2025-08-18_[定期报告]五新隧装_2025年一季度报告（更正后）.pdf,湖南五新隧道智能装备股份有限公司,五新隧装,835174,2025年第一季度报告（更正后）,2025-03-31,同比下降,未找到,未找到,未找到,未找到,172569575.11,193397297.02,-10.77%,32195593.85,36191392.42,-11.04%,29526075.15,36518408.68,-19.15%,1084526816.02,1106779327.81,-2.01%,797508089.34,764159929.28,4.36%,30741848.87,1671144.68,1739.57%,0.36,0.41,-12.20%,4.12%,5.23%,未找到,26.46%,第一节 重要提示;第二节 公司基本情况;第三节 重大事件;第四节 财务会计报告,未找到,中文,是,24,16966,32195593.85,36191392.42,未找到,未找到,未找到,287018726.68,1084526816.02,未找到,未找到,未找到
145760574_2025-08-20_空港股份2025年第一季度报告（更正后）.pdf,北京空港科技园区股份有限公司,空港股份,600463,北京空港科技园区股份有限公司2025年第一季度报告,2025-04-29,亏损,未找到,未找到,未找到,未找到,"152,833,618.10","162,812,992.27",-6.13,"3,754,340.46","-6,077,921.81",不适用,"1,520,912.74","-8,110,048.63",不适用,"2,758,984,925.88","2,679,407,700.87",2.97,"986,851,838.78","1,057,517,519.89",-6.68,"-77,064,994.03","-8,427,586.73",不适用,0.0125,-0.0203,不适用,0.37,-0.53,增加0.90个百分点,64.03%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据、财务指标发生变动的情况、原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;三、其他提醒事项;四、季度财务报表;（一）审计意见类型;（二）财务报表,未找到,中文,否,20,未找到,"-447,236.16","-11,317,000.07",未找到,未找到,未找到,"1,766,757,782.24","2,758,984,925.88",未找到,未找到,未找到
145782098_2025-08-25__ST长药：2025年第一季度报告（更正后）.PDF,长江医药控股股份有限公司,*ST长药,300391,长江医药控股股份有限公司2025年第一季度报告,2025-08-26,亏损,未找到,未找到,未找到,未找到,45795675.76,59091762.31,-22.50%,-60812317.13,-47505902.27,-28.01%,-62639023.43,-45659634.61,-37.19%,2042496723.36,1995717642.12,2.34%,-493652976.34,-432840659.21,-14.05%,-71835780.49,-32816721.93,-118.90%,-0.1736,-0.1356,-28.02%,-13.13%,-27.72%,14.59%,125.00%,重要内容提示;一、主要财务数据;（一） 主要会计数据和财务指标;（二） 非经常性损益项目和金额;（三） 主要会计数据和财务指标发生变动的情况及原因;二、股东信息;（一） 普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;（二） 公司优先股股东总数及前10名优先股股东持股情况表;（三） 限售股份变动情况;三、其他重要事项;（一） 2024年度审计报告中持续经营相关的重大不确定性的风险提示;（二） 重整失败的风险提示;（三） 公司股票可能被终止上市的风险提示;四、季度财务报表;（一） 财务报表;1、合并资产负债表;2、合并利润表;3、合并现金流量表;（二） 2025年起首次执行新会计准则调整首次执行当年年初财务报表相关项目情况;（三） 审计报告,未找到,中文,否,11,9405,-89396554.98,-81120269.42,未找到,未找到,未找到,2553248300.65,2042496723.36,未找到,未找到,未找到
145811264_2025-08-28_世纪恒通：2025年一季度报告.pdf,世纪恒通科技股份有限公司,世纪恒通,301428,世纪恒通科技股份有限公司2025年第一季度报告,2025-04-26,同比下降,未找到,未找到,未找到,未找到,271537918.06,291112879.34,-6.72%,15422811.09,20261230.76,-23.88%,11257121.64,9657862.35,16.56%,2421969634.30,2296585793.21,5.46%,1249783570.78,1237236202.68,1.01%,-109494004.00,-90551380.54,-20.92%,0.1563,0.2100,-25.57%,1.24%,1.62%,-0.38%,48.37%,重要内容提示;一、主要财务数据;（一）主要会计数据和财务指标;（二）非经常性损益项目和金额;（三）主要会计数据和财务指标发生变动的情况及原因;二、股东信息;（一）普通股股东总数和表决权恢复的优先股股东数量及前十名股东持股情况表;（二）公司优先股股东总数及前10名优先股股东持股情况表;（三）限售股份变动情况;三、其他重要事项;四、季度财务报表;（一）财务报表;1、合并资产负债表;2、合并利润表;3、合并现金流量表;（二）2025年起首次执行新会计准则调整首次执行当年年初财务报表相关项目情况;（三）审计报告,未找到,中文,否,12,10737,14706849.49,19831343.46,未找到,未找到,未找到,1170902083.40,2421969634.30,未找到,未找到,未找到
145823441_2025-08-28_[定期报告]凯德石英_2025年一季度报告（更正后）.pdf,北京凯德石英股份有限公司,凯德石英,835179,2025年第一季度报告,2025-04-26,同比下降,未找到,未找到,未找到,未找到,"85,317,542.06","84,633,111.64",0.81,"9,976,972.59","11,542,541.29",-13.56,"9,811,708.37","11,205,813.40",-12.44,"1,039,332,415.62","1,011,705,895.55",2.73,"743,038,771.04","731,251,527.15",1.61,"-2,378,574.20","-12,654,803.38",81.20,0.13,0.16,-18.75,1.35,1.65,未找到,21.68%,第一节 重要提示;第二节 公司基本情况;第三节 重大事件;第四节 财务会计报告,未找到,中文,是,21,15253,"12,630,280.60","13,860,011.36",未找到,未找到,未找到,"225,367,246.71","1,039,332,415.62",未找到,未找到,未找到
145828832_2025-08-29_振华重工2024年年度报告（英文版）.pdf,上海振华重工（集团）股份有限公司,振华重工,600320 900947,"Shanghai Zhenhua Heavy Industries Co., Ltd. Annual Report 2024",2024-12-31,同比增长,Ernst & Young Hua Ming LLP,"Gao Chong,Huang Hongwei",标准无保留意见,未找到,34456420181,32933263802,4.62,533524077,519978765,2.60,211097452,274145961,-23.00,85767463201,84864576091,1.06,15867533500,15756552794,0.70,5275878878,5184184446,1.77,0.10,0.10,0,3.39,3.37,0.02,未找到,Section I Definitions;Section II Company Profile and Principal Financial Indexes;Section III Management Discussion and Analysis;Section IV Corporate Governance;Section V Environmental and Social Responsibility;Section VI Important Events;Section VII Changes in Shares and Shareholders' Situation;Section VIII Preference Shares;Section IX Bonds;Section X Financial Report,"As audited by Ernst & Young Hua Ming LLP, the Company achieved a net profit attributable to the owners of the parent company of approximately RMB 534 million in 2024. As at December 31, 2024, the undistributed profit of the parent company was approximately RMB 2.901 billion. Based on the Company's performance with 2024, a profit distribution proposal for 2024 has been proposed: profits will be distributed based on the total share capital registered on the record date for the implementation of the equity distribution, and a cash dividend of RMB 0.55 (tax included) per 10 shares should be distributed to all shareholders. As of December 31, 2024, the Company's total share capital consisted of 5,268,353,501 shares. When calculated on this basis, the total cash dividend to be distributed will be RMB 289,759,442.56 (tax included). The Company will not convert capital reserve into share capital, or grant bonus shares for 2024. The profit distribution proposal has yet to be submitted to the 2024 Annual General Meeting of Shareholders for consideration and approval.",英文,是,224,551273,533524077,519978765,未找到,未找到,未找到,未找到,未找到,未找到,未找到,未找到
145828835_2025-08-29_振华重工2024年年度报告（英文版）.pdf,上海振华重工（集团）股份有限公司,振华重工,600320 900947,"Shanghai Zhenhua Heavy Industries Co., Ltd. Annual Report 2024",2024-12-31,同比增长,Ernst & Young Hua Ming LLP,"Gao Chong,Huang Hongwei",标准无保留意见,未找到,34456420181,32933263802,4.62,533524077,519978765,2.60,211097452,274145961,-23.00,85767463201,84864576091,1.06,15867533500,15756552794,0.70,5275878878,5184184446,1.77,0.10,0.10,0,3.39,3.37,0.02,未找到,Section I Definitions;Section II Company Profile and Principal Financial Indexes;Section III Management Discussion and Analysis;Section IV Corporate Governance;Section V Environmental and Social Responsibility;Section VI Important Events;Section VII Changes in Shares and Shareholders' Situation;Section VIII Preference Shares;Section IX Bonds;Section X Financial Report,"As audited by Ernst & Young Hua Ming LLP, the Company achieved a net profit attributable to the owners of the parent company of approximately RMB 534 million in 2024. As at December 31, 2024, the undistributed profit of the parent company was approximately RMB 2.901 billion. Based on the Company's performance with 2024, a profit distribution proposal for 2024 has been proposed: profits will be distributed based on the total share capital registered on the record date for the implementation of the equity distribution, and a cash dividend of RMB 0.55 (tax included) per 10 shares should be distributed to all shareholders. As of December 31, 2024, the Company's total share capital consisted of 5,268,353,501 shares. When calculated on this basis, the total cash dividend to be distributed will be RMB 289,759,442.56 (tax included). The Company will not convert capital reserve into share capital, or grant bonus shares for 2024. The profit distribution proposal has yet to be submitted to the 2024 Annual General Meeting of Shareholders for consideration and approval.",英文,是,224,551273,533524077,519978765,未找到,未找到,未找到,未找到,未找到,未找到,未找到,未找到
145871525_2025-09-20_[定期报告]东方碳素_2021年年度报告.pdf,平顶山东方碳素股份有限公司,东方碳素,832175,年度报告,2021-12-31,同比增长,立信会计师事务所（特殊普通合伙）,冯万奇;李福兴,标准无保留意见,未找到,324798210.47,208660033.75,55.66,45191934.31,31406118.00,43.90,44359409.15,27835577.33,59.36,467133987.24,389255421.51,20.01,337074914.57,289325485.25,16.50,13424762.56,22522584.39,-40.39,0.52,0.36,43.88,14.49,11.58,-,27.84%,第一节 重要提示、目录和释义;第二节 公司概况;第三节 会计数据和财务指标;第四节 管理层讨论与分析;第五节 重大事件;第六节 股份变动、融资和利润分配;第七节 董事、监事、高级管理人员及核心员工情况;第八节 行业信息;第九节 公司治理、内部控制和投资者保护;第十节 财务会计报告;第十一节 备查文件目录,无,中文,是,171,106103,45191934.31,31406118.00,无,无,无,130059072.67,467133987.24,无,无,无
