filename,公司全称,公司简称,公司代码,文件名称,落款日期,会议类型,会议届次,会议召开时间,篇幅页码,字数,关联公告,议案列表
145665132_2025-06-17_成都路桥：关于将前次股东大会未获通过议案再次提交股东大会审议的说明公告.PDF,成都市路桥工程股份有限公司,成都路桥,002628,关于将前次股东大会未获通过议案再次提交股东大会审议的说明公告,二〇二五年六月十八日,董事会,第七届董事会第三十二次会议,2025年6月17日,3,1518,《关于将前次股东大会未获通过议案再次提交股东大会审议的说明公告》,"[{""议案名称"": ""《关于2025年度董事、监事、高级管理人员薪酬方案的议案》"", ""议案内容"": ""董事、监事及高级管理人员作为公司核心治理与运营团队，其薪酬方案的确定是公司治理架构中的关键环节。合理的薪酬体系能够明确权责利关系，确保公司决策与管理机制有效运行，若薪酬方案未能及时确定，可能影响治理流程的有序推进，进而对公司战略执行效率产生负面影响。且根据《公司法》等法规，股东会对董监高薪酬具有法定决策权，再次提交审议既是落实合规要求、保障公司正常运营的必要举措，也为进一步沟通股东意见、完善方案合理性提供机会。"", ""审议状态"": ""已经董事会审议通过，尚需提交股东会审议"", ""表决情况"": ""未找到"", ""回避情况"": ""全体董事回避表决""}]"
145683227_2025-06-29_飞马国际：关于将前次股东大会未获通过提案再次提交股东大会审议的说明公告.PDF,深圳市飞马国际供应链股份有限公司,飞马国际,002210,关于将前次股东大会未获通过提案再次提交股东大会审议的说明公告,2025年6月27日,董事会,第七届董事会第六次会议,2025年6月27日,3,1485,《2024年年度股东大会决议公告》《第七届董事会第五次会议决议公告》《关于业绩承诺实现情况的提示性公告》,"[{""议案名称"": ""《关于将<关于业绩承诺实现情况的议案>再次提请股东大会审议的议案》"", ""议案内容"": ""将《关于业绩承诺实现情况的议案》再次提交股东大会审议"", ""审议状态"": ""已经董事会审议通过，尚需提交股东会审议"", ""表决情况"": ""未找到"", ""回避情况"": ""关联董事已回避表决""}]"
145871525_2025-09-20_[定期报告]东方碳素_2021年年度报告.pdf,平顶山东方碳素股份有限公司,东方碳素,832175,年度报告,未找到,其他,未找到,未找到,171,106103,《年度报告》,[]
145873833_2025-09-23_[定期报告]东方碳素_2021年年度报告.pdf,平顶山东方碳素股份有限公司,东方碳素,832175,年度报告,未找到,其他,未找到,未找到,171,106103,《年度报告》,[]
145888121_2025-09-29_力帆科技（集团）股份有限公司2023年年度报告（更正后）.pdf,力帆科技（集团）股份有限公司,力帆科技,601777,力帆科技（集团）股份有限公司2023年年度报告,未找到,其他,未找到,未找到,282,194875,《力帆科技（集团）股份有限公司2023年年度报告》,[]
145986875_2025-10-10_迦南科技：第六届董事会第九次会议决议公告.PDF,浙江迦南科技股份有限公司,迦南科技,300412,第六届董事会第九次会议决议公告,2025年10月11日,董事会,第六届董事会第九次会议,2025年10月10日,2,774,《第六届董事会第九次会议决议公告》,"[{""议案名称"": ""《关于控股子公司注册地址迁移的议案》"", ""议案内容"": ""具体内容详见同日披露在巨潮资讯网的《关于控股子公司注册地址迁移的公告》"", ""审议状态"": ""已经董事会审议通过，无需提交股东会审议"", ""表决情况"": ""同意9票，反对0票，弃权0票"", ""回避情况"": ""未找到""}, {""议案名称"": ""《关于选举代表公司执行公司事务的董事的议案》"", ""议案内容"": ""会议选举董事长方正先生为代表公司执行公司事务的董事，并担任公司法定代表人。本次选举后，公司法定代表人未发生变更"", ""审议状态"": ""已经董事会审议通过，无需提交股东会审议"", ""表决情况"": ""同意9票，反对0票，弃权0票"", ""回避情况"": ""未找到""}, {""议案名称"": ""《关于确认公司第六届董事会审计委员会成员及召集人的议案》"", ""议案内容"": ""根据《公司法》和《公司章程》的有关规定，公司治理结构进行调整，公司董事会审计委员会职权范围变化。公司对第六届董事会审计委员会成员及召集人进行确认，公司第六届董事会审计委员会成员仍由许小明女士、郑高利先生、樊德珠女士组成，由独立董事许小明女士担任主任委员及召集人"", ""审议状态"": ""已经董事会审议通过，无需提交股东会审议"", ""表决情况"": ""同意9票，反对0票，弃权0票"", ""回避情况"": ""未找到""}]"
145986893_2025-10-10_航发控制：第九届董事会第二十九次会议决议公告.PDF,中国航发动力控制股份有限公司,航发控制,000738,中国航发动力控制股份有限公司第九届董事会第二十九次会议决议公告,2025年10月10日,董事会,第九届董事会第二十九次会议,2025年10月10日,1,484,《中国航发动力控制股份有限公司第九届董事会第二十九次会议决议公告》,"[{""议案名称"": ""《召开2025年第一次临时股东会》"", ""议案内容"": ""未找到"", ""审议状态"": ""已经董事会审议通过，尚需提交股东会审议"", ""表决情况"": ""同意12票，反对0票，弃权0票"", ""回避情况"": ""未找到""}]"
145986917_2025-10-10_葵花药业：第五届董事会第十一次会议决议公告.PDF,葵花药业集团股份有限公司,葵花药业,002737,第五届董事会第十一次会议决议公告,2025年10月10日,董事会,第五届董事会第十一次会议,2025年10月10日,5,2921,《第五届董事会第十一次会议决议公告》,"[{""议案名称"": ""《关于授权葵花集团及其下属企业使用公司部分注册商标暨关联交易的议案》"", ""议案内容"": ""同意授权控股股东葵花集团有限公司（含其合并报表范围内子公司）使用公司第45649037号“葵花”文字商标（核定使用类别：第30类）、第8934143号“葵花宝粒”文字商标（核定使用类别：第30类）、“小葵花”美术作品，授权期限为3年，自2026年1月1日起至2028年12月31日止，使用费用合计为人民币15万元/年。"", ""审议状态"": ""已经董事会审议通过，无需提交股东会审议"", ""表决情况"": ""同意5票，反对0票，弃权0票"", ""回避情况"": ""公司董事长关玉秀女士、董事关一女士、关彦玲先生、周建忠先生均为本次关联交易的关联董事，在审议该议案时均予以回避表决。""}, {""议案名称"": ""《关于修改公司章程的议案》"", ""议案内容"": ""同意修改公司《章程》，并将修改后的公司《章程》报市场监督管理部门登记备案。"", ""审议状态"": ""已经董事会审议通过，尚需提交股东会审议"", ""表决情况"": ""同意9票，反对0票，弃权0票"", ""回避情况"": ""未找到""}, {""议案名称"": ""《关于调整公司相关管理制度的议案》"", ""议案内容"": ""为确保公司治理层各项制度符合最新监管规则，并与公司经营管理实际运营体系匹配，同意公司制定、调整如下制度/规则/细则/办法：3.01股东大会议事规则；3.02董事会议事规则；3.03独立董事工作制度；3.04关联交易管理制度；3.05对外担保管理制度；3.06防止控股股东及其关联方资金占用管理办法；3.07对外投资管理办法；3.08董事会审计委员会工作细则；3.09董事会战略委员会工作细则；3.10董事会薪酬与考核委员会工作细则；3.11董事会提名委员会工作细则；3.12总经理（总裁）工作细则；3.13董事会秘书工作细则；3.14子公司管理办法；3.15重大信息内部报告制度；3.16内部审计制度；3.17高级管理人员薪酬管理制度；3.18募集资金管理制度；3.19信息披露管理制度；3.20投资者关系管理制度；3.21融资决策制度；3.22董事、监事和高级管理人员所持本公司股份及其变动管理制度；3.23独立董事年报工作制度；3.24内幕信息知情人员登记管理制度；3.25年报信息披露重大差错责任追究制度；3.26审计委员会年报工作规程；3.27期货套期保值业务管理制度；3.28对外提供财务资助管理制度；3.29董事离职管理制度；3.30信息披露暂缓与豁免业务管理制度。"", ""审议状态"": ""已经董事会审议通过，尚需提交股东会审议"", ""表决情况"": ""同意9票，反对0票，弃权0票"", ""回避情况"": ""未找到""}, {""议案名称"": ""《关于提请召开公司2025年第一次临时股东大会的议案》"", ""议案内容"": ""同意由公司董事会召集召开公司2025年第一次临时股东大会，会议召开信息详见具体公告。"", ""审议状态"": ""已经董事会审议通过，无需提交股东会审议"", ""表决情况"": ""同意9票，反对0票，弃权0票"", ""回避情况"": ""未找到""}]"
145986925_2025-10-10_深桑达Ａ：第九届监事会第十九次会议决议公告.PDF,深圳市桑达实业股份有限公司,深桑达A,000032,深圳市桑达实业股份有限公司第九届监事会第十九次会议决议公告,2025年10月11日,监事会,第九届监事会第十九次,2025年10月10日,2,469,《深圳市桑达实业股份有限公司第九届监事会第十九次会议决议公告》,"[{""议案名称"": ""《关于延长公司2024年度向特定对象发行A股股票股东大会决议有效期限的议案》"", ""议案内容"": ""延长公司2024年度向特定对象发行A股股票股东大会决议有效期限"", ""审议状态"": ""已经监事会审议通过，尚需提交股东会审议"", ""表决情况"": ""同意3票，反对0票，弃权0票"", ""回避情况"": ""未找到""}, {""议案名称"": ""《关于提请股东大会延长授权董事会全权办理向特定对象发行A股股票具体事宜有效期的议案》"", ""议案内容"": ""提请股东大会延长授权董事会全权办理向特定对象发行A股股票具体事宜有效期"", ""审议状态"": ""已经监事会审议通过，尚需提交股东会审议"", ""表决情况"": ""同意3票，反对0票，弃权0票"", ""回避情况"": ""未找到""}]"
145986926_2025-10-10_深桑达Ａ：第九届董事会第四十二次会议决议公告.PDF,深圳市桑达实业股份有限公司,深桑达A,000032,深圳市桑达实业股份有限公司第九届董事会第四十二次会议决议公告,2025年10月11日,董事会,第九届董事会第四十二次会议,2025年10月10日,2,663,《深圳市桑达实业股份有限公司第九届董事会第四十二次会议决议公告》,"[{""议案名称"": ""《关于延长公司2024年度向特定对象发行A股股票股东大会决议有效期限的议案》"", ""议案内容"": ""延长公司2024年度向特定对象发行A股股票股东大会决议有效期限"", ""审议状态"": ""已经董事会审议通过，尚需提交股东会审议"", ""表决情况"": ""同意5票，反对0票，弃权0票"", ""回避情况"": ""未找到""}, {""议案名称"": ""《关于提请股东大会延长授权董事会全权办理向特定对象发行A股股票具体事宜有效期的议案》"", ""议案内容"": ""提请股东大会延长授权董事会全权办理向特定对象发行A股股票具体事宜有效期"", ""审议状态"": ""已经董事会审议通过，尚需提交股东会审议"", ""表决情况"": ""同意5票，反对0票，弃权0票"", ""回避情况"": ""未找到""}, {""议案名称"": ""《关于召开2025年第二次临时股东大会的议案》"", ""议案内容"": ""召开2025年第二次临时股东大会，审议本次董事会议案中需要提交股东大会审议的相关事项"", ""审议状态"": ""未找到"", ""表决情况"": ""同意5票，反对0票，弃权0票"", ""回避情况"": ""未找到""}]"
145987026_2025-10-10_张家港保税科技（集团）股份有限公司第十届董事会第八次会议决议公告.pdf,张家港保税科技（集团）股份有限公司,保税科技,600794,张家港保税科技（集团）股份有限公司第十届董事会第八次会议决议公告,2025年10月11日,董事会,第十届董事会第八次会议,2025年10月10日,4,2176,《张家港保税科技（集团）股份有限公司第十届董事会第八次会议决议公告》,"[{""议案名称"": ""《关于取消监事会并修订〈公司章程〉的议案》"", ""议案内容"": ""取消监事会并修订《公司章程》"", ""审议状态"": ""已经董事会审议通过，尚需提交股东会审议"", ""表决情况"": ""同意7票，反对0票，弃权0票"", ""回避情况"": ""未找到""}, {""议案名称"": ""《关于修订公司部分治理制度的议案》"", ""议案内容"": ""修订《股东会议事规则》等25项制度，其中8项需提交股东大会审议"", ""审议状态"": ""已经董事会审议通过，尚需提交股东会审议"", ""表决情况"": ""未找到"", ""回避情况"": ""未找到""}, {""议案名称"": ""《关于外服公司减资完成后调整其交割库业务担保方式的议案》"", ""议案内容"": ""外服公司减资完成后调整其交割库业务担保方式"", ""审议状态"": ""已经董事会审议通过，尚需提交股东会审议"", ""表决情况"": ""同意3票，反对0票，弃权0票"", ""回避情况"": ""关联董事季忠明、张惠忠、周锋和陈保进回避表决""}, {""议案名称"": ""《关于召开公司2025年第三次临时股东大会的议案》"", ""议案内容"": ""召开公司2025年第三次临时股东大会"", ""审议状态"": ""已经董事会审议通过，无需提交股东会审议"", ""表决情况"": ""同意7票，反对0票，弃权0票"", ""回避情况"": ""未找到""}]"
